"no Student+Teacher",15
"no Teacher & Student",3
"no Student - Teacher",1
"no (Teacher + Student)",3
"no Student & Teacher",4
"one Teacher & Student",1
"some Student + Person",2
"one (Teacher+Student)",1
"lone (Teacher+Student)",1
"some (Teacher+Student)",2
"some Student & Teacher",1
"some Student + Teacher",2
"Student + Teacher = none",1
"Student + Teacher in none",1
"Person - Teacher = Person",1
"no Student or no Teacher",2
"no Student && no Teacher",4
"no (Person & Student & Teacher)",2
"no (Student + Teacher) & Person",2
"no Teacher - (Student - Teacher)",1
"some Person & (Teacher + Student)",1
"one Teacher - (Student - Teacher)",1
"lone Teacher - (Student - Teacher)",1
"some Teacher - (Student - Teacher)",1
"all p: Person | lone Student",2
"Person = Person -(Student+Teacher)",1
"Person = Person - Student - Teacher",1
"all p: Person | p !in Teacher",1
"Person = Person - Teacher - Student",2
"Person not in Teacher and Person not in Student",1
"no ((Person & Student ) & (Person & Teacher))",1
"some Person
	no Student and no Teacher",1
"no (Student - Teacher) + (Teacher - Student)",2
"no Student - Teacher + Teacher - Student",2
"no (Student - Teacher) - (Teacher - Student)",1
"one Student - Teacher + Teacher - Student",1
"some Student - Teacher + Teacher - Student",1
"lone Student - Teacher + Teacher - Student",1
"all p:Person | one Teacher & Student",1
"no p: Person | p in Student + Teacher",1
"no (Person & Student) and no (Person & Teacher)",2
"no (Person & Student)  or no(Person & Teacher)",1
"no (Person&Teacher) and no (Person&Student)",1
"all p: Person | p !in (Teacher + Student)",1
"all p: Person | p not in Student + Teacher",3
"all p:Person-Student | p not in Teacher",1
"some p: Person | p !in (Teacher + Student)",1
"not (no (Person & Student) and no(Person & Teacher) )",2
"some (Person & Teacher) or some (Person & Student )",1
"no p : Person | p in Student or p in Teacher",1
"all p:Person | p in Student implies p not in Teacher",1
"all p: Person | p in Teacher or p not in Student",1
"all p: Person | (p !in Teacher) or (p !in Student)",2
"all p: Person | p not in Student && p not in Teacher",7
"all p: Person | (p !in Teacher) => (p !in Student)",1
"all p : Person | p not in Student || p not in Teacher",1
"all p: Person | (p !in Teacher) and (p !in Student)",1
"all p:Person | p.Teaches = none and p.Tutors=none",1
"all p : Person | p not in (Student + Teacher) and no p.Teaches",1
"all p:Person | p.Teaches = none and p.Tutors=none and p not in Student",1
"all p : Person | p not in (Student + Teacher) and no p.Teaches and no p.Tutors",2
"no p: Person | one s: Student | one t: Teacher | p = s or p = t",1
"all p: Person | all s: Student | all t: Teacher | p = s or p = t",1
"no p: Person | one s: Student | one t: Teacher | p != s and p != t",1
"all p:Person | p.Teaches = none and p.Tutors=none and p not in Student and p not in Teacher",1
